;version;loss_function;alpha;gamma;loss;accuracy;precision;recall;auc;val_loss;val_accuracy;val_precision;val_recall;val_auc
35;v2.2.0.2;BinaryFocalCrossentropy;0.25;3.0;0.0186523851007223;0.941695511341095;0.9613113403320312;0.9597128033638;0.9852434992790222;0.019233213737607;0.9484367966651917;0.9657998085021972;0.955923855304718;0.9872195720672609
36;v2.2.0.2;BinaryFocalCrossentropy;0.25;3.0;0.0176872424781322;0.9454931020736694;0.9633943438529968;0.9628117680549622;0.9867042899131776;0.0186297018080949;0.9486700892448424;0.9671428799629213;0.9548659920692444;0.9886236786842346
37;v2.2.0.2;BinaryFocalCrossentropy;0.25;3.0;0.0177122559398412;0.944655418395996;0.963282585144043;0.9617536067962646;0.9868220090866088;0.0197255350649356;0.9468035697937012;0.9607774019241332;0.9587447047233582;0.987475037574768
38;v2.2.0.2;BinaryFocalCrossentropy;0.25;3.0;0.0175782311707735;0.945046365261078;0.9640042185783386;0.9615268111228944;0.9869601726531982;0.0195331871509552;0.9475035071372986;0.970111608505249;0.9499294757843018;0.987982213497162
39;v2.2.0.2;BinaryFocalCrossentropy;0.25;3.0;0.0174247790127992;0.9462191462516784;0.9639912247657776;0.9631897211074828;0.987235426902771;0.019605154171586;0.9465702176094056;0.9623979926109314;0.9566290378570556;0.9875898957252502
40;v2.2.1.0;BinaryFocalCrossentropy;0.4;1.0;0.0980220437049865;0.9272260069847108;0.9505518674850464;0.9488360285758972;0.9752920866012572;0.0753901675343513;0.9407373070716858;0.9578014016151428;0.9523977637290956;0.98474782705307
41;v2.2.1.0;BinaryFocalCrossentropy;0.4;1.0;0.081370823085308;0.9329274892807008;0.9540273547172546;0.9552531838417052;0.9801163077354432;0.0713414177298545;0.948203444480896;0.962818682193756;0.9587447047233582;0.9863554239273072
42;v2.2.1.0;BinaryFocalCrossentropy;0.4;1.0;0.0763016641139984;0.9353289604187012;0.956580936908722;0.9558578729629515;0.9825441837310792;0.0701868459582328;0.9472701549530028;0.9707792401313782;0.9488716721534728;0.9865962266921996
43;v2.2.1.0;BinaryFocalCrossentropy;0.4;1.0;0.0725774094462394;0.940690279006958;0.9611186981201172;0.9585034251213074;0.9842178225517272;0.069507822394371;0.9496033787727356;0.971222996711731;0.9520451426506042;0.9871466755867004
44;v2.2.1.0;BinaryFocalCrossentropy;0.4;1.0;0.0719752162694931;0.940690279006958;0.960142195224762;0.9595615863800048;0.9844635725021362;0.0683559849858284;0.9468035697937012;0.9591549038887024;0.9605077505111694;0.9877309203147888
45;v2.2.1.0;BinaryFocalCrossentropy;0.4;1.0;0.0702753961086273;0.9419747591018676;0.9623757600784302;0.9589568972587584;0.9851595759391784;0.0675009787082672;0.9498366713523864;0.9698816537857056;0.9538081884384156;0.987620174884796
46;v2.2.1.0;BinaryFocalCrossentropy;0.4;1.0;0.0675645992159843;0.9452139139175416;0.963590919971466;0.9622070789337158;0.9863491058349608;0.0683100372552871;0.9475035071372986;0.9601691961288452;0.9605077505111694;0.9874484539031982
47;v2.2.1.0;BinaryFocalCrossentropy;0.4;1.0;0.0664089024066925;0.9464983940124512;0.9649189114570618;0.9625850319862366;0.9867874383926392;0.0669506564736366;0.9510032534599304;0.9646142721176147;0.961212992668152;0.9879856705665588
48;v2.2.1.0;BinaryFocalCrossentropy;0.4;1.0;0.0661496445536613;0.9464983940124512;0.9642857313156128;0.963265299797058;0.9869096279144288;0.06700149923563;0.9498366713523864;0.9729339480400084;0.9506347179412842;0.98828387260437
49;v2.2.1.0;BinaryFocalCrossentropy;0.4;1.0;0.0647224187850952;0.948117971420288;0.9659822583198548;0.963718831539154;0.9874390363693236;0.0670024827122688;0.9489033818244934;0.9605772495269777;0.9622707962989808;0.9882802963256836
50;v2.2.1.1;BinaryFocalCrossentropy;0.4;2.0;0.0523229576647281;0.9239365458488464;0.9474110007286072;0.9475289583206176;0.9752208590507508;0.0391897521913051;0.9412038922309875;0.9725676774978638;0.9375881552696228;0.98526132106781
51;v2.2.1.1;BinaryFocalCrossentropy;0.4;2.0;0.0414886996150016;0.9335418343544006;0.9552329182624816;0.9547997117042542;0.9807182550430298;0.0392556861042976;0.9433037638664246;0.9459924101829528;0.969675600528717;0.986575186252594
52;v2.2.1.1;BinaryFocalCrossentropy;0.4;2.0;0.0391508378088474;0.9346587657928468;0.956818163394928;0.9546485543251038;0.9827367067337036;0.0353279337286949;0.951236605644226;0.9652851819992064;0.9608603715896606;0.9879091382026672
53;v2.2.1.1;BinaryFocalCrossentropy;0.4;2.0;0.0369277447462081;0.9400200843811036;0.960663914680481;0.9580498933792114;0.984730899333954;0.0364989228546619;0.9456369280815125;0.96070796251297;0.9569816589355468;0.9873093366622924
54;v2.2.1.1;BinaryFocalCrossentropy;0.4;2.0;0.0367883704602718;0.9414162635803224;0.9607383608818054;0.9599395394325256;0.9848220944404602;0.0364615209400653;0.9456369280815125;0.9748266935348512;0.9421720504760742;0.988121747970581
55;v2.2.1.1;BinaryFocalCrossentropy;0.4;2.0;0.0357760041952133;0.9454373121261596;0.9642342925071716;0.9618291854858398;0.9857226610183716;0.035021599382162;0.947036862373352;0.9624246954917908;0.957334280014038;0.9885084629058838
56;v2.2.1.1;BinaryFocalCrossentropy;0.4;2.0;0.0348748862743377;0.9452139139175416;0.9640124440193176;0.9617536067962646;0.9863709807395936;0.034937459975481;0.948203444480896;0.9647937417030334;0.9566290378570556;0.988599419593811
57;v2.2.1.1;BinaryFocalCrossentropy;0.4;2.0;0.0337861217558383;0.9459398984909058;0.9642586708068848;0.9625094532966614;0.9872255921363832;0.0365338958799839;0.9484367966651917;0.9715110063552856;0.9499294757843018;0.988115668296814
58;v2.2.1.1;BinaryFocalCrossentropy;0.4;2.0;0.0338956713676452;0.9463308453559875;0.9650519490242004;0.9622070789337158;0.9871774911880492;0.0413254797458648;0.9409705996513368;0.9421430826187134;0.9703808426856996;0.9867085218429564
59;v2.2.1.1;BinaryFocalCrossentropy;0.4;2.0;0.0333996899425983;0.9458840489387512;0.9639748930931092;0.962736189365387;0.9875088930130004;0.0377184003591537;0.9451703429222108;0.9693251252174376;0.9471086263656616;0.9880231618881226
60;v2.2.1.2;BinaryFocalCrossentropy;0.4;3.0;0.028159987181425;0.9221341013908386;0.949298083782196;0.9427984356880188;0.9739086031913756;0.0266189314424991;0.927671492099762;0.931352436542511;0.9615656137466432;0.9782294034957886
61;v2.2.1.2;BinaryFocalCrossentropy;0.4;3.0;0.0216488912701606;0.9325366020202636;0.9540716409683228;0.9546485543251038;0.9800590872764589;0.0201958660036325;0.9475035071372986;0.9582309722900392;0.962623417377472;0.9862300157546996
62;v2.2.1.2;BinaryFocalCrossentropy;0.4;3.0;0.020202362909913;0.9356639981269836;0.9575693011283876;0.9552531838417052;0.9825826287269592;0.0213944092392921;0.9423705339431764;0.9456110000610352;0.9686177968978882;0.9860039949417114
63;v2.2.1.2;BinaryFocalCrossentropy;0.4;3.0;0.0192157104611396;0.9405227303504944;0.9599939584732056;0.9594860076904296;0.984428882598877;0.0189464967697858;0.9491367340087892;0.9615656137466432;0.9615656137466432;0.9878286719322203
64;v2.2.1.2;BinaryFocalCrossentropy;0.4;3.0;0.0190211609005928;0.9401876330375672;0.960742712020874;0.9582010507583618;0.9846407175064088;0.0191258043050766;0.9456369280815125;0.9590829014778136;0.9587447047233582;0.9873418211936952
65;v2.2.1.2;BinaryFocalCrossentropy;0.4;3.0;0.0184503830969333;0.9425332546234132;0.9619840979576112;0.9601662755012512;0.985488772392273;0.018956933170557;0.9479701519012452;0.965775430202484;0.9552186131477356;0.9878152012825012
66;v2.2.1.2;BinaryFocalCrossentropy;0.4;3.0;0.0178041718900203;0.9460515975952148;0.9646862745285034;0.9622070789337158;0.986613154411316;0.0189510975033044;0.9468035697937012;0.9585091471672058;0.961212992668152;0.987994372844696
67;v2.2.1.2;BinaryFocalCrossentropy;0.4;3.0;0.0174606051295995;0.9444878697395324;0.9633444547653198;0.9614512324333192;0.987107515335083;0.0195278599858284;0.948203444480896;0.9618374705314636;0.9598025679588318;0.9865422248840332
68;v2.2.1.2;BinaryFocalCrossentropy;0.4;3.0;0.0174357332289218;0.9460515975952148;0.964756727218628;0.9621315002441406;0.98719584941864;0.0199779737740755;0.9479701519012452;0.9711503982543944;0.9495768547058104;0.9877264499664308
69;v2.2.1.2;BinaryFocalCrossentropy;0.4;3.0;0.0172836668789386;0.946777641773224;0.9645803570747375;0.9633408784866332;0.987305760383606;0.0208356790244579;0.9465702176094056;0.949948251247406;0.9703808426856996;0.9874321222305298
70;v2.2.2.0;BinaryFocalCrossentropy;0.6;1.0;0.1000121757388114;0.9229902625083924;0.946118950843811;0.9475911855697632;0.9739609360694884;0.0768010094761848;0.9412038922309875;0.9630824327468872;0.947461187839508;0.9840057492256165
71;v2.2.2.0;BinaryFocalCrossentropy;0.6;1.0;0.0821827575564384;0.9310845732688904;0.9532265663146972;0.9535147547721864;0.9797539710998536;0.0718518868088722;0.947036862373352;0.9653941988945008;0.9541608095169068;0.9857583045959472
72;v2.2.2.0;BinaryFocalCrossentropy;0.6;1.0;0.0765561833977699;0.9371160268783568;0.9586933255195618;0.956084668636322;0.9824210405349731;0.0706167966127395;0.9477367997169496;0.9697842001914978;0.9506347179412842;0.9868529438972472
73;v2.2.2.0;BinaryFocalCrossentropy;0.6;1.0;0.0729919075965881;0.9396291971206664;0.959250032901764;0.9590324759483336;0.9840625524520874;0.0691326409578323;0.9484367966651917;0.9664645195007324;0.9552186131477356;0.986408829689026
74;v2.2.2.0;BinaryFocalCrossentropy;0.6;1.0;0.0721688941121101;0.9401317834854126;0.9606698751449584;0.9582010507583618;0.9843354225158693;0.0734051167964935;0.9426038265228271;0.9431896209716796;0.9717912673950196;0.98742413520813
75;v2.2.2.0;BinaryFocalCrossentropy;0.6;1.0;0.070083349943161;0.941583812236786;0.9605382680892944;0.9603930711746216;0.9852660298347472;0.0681006014347076;0.950070023536682;0.9672130942344666;0.9569816589355468;0.9878122806549072
76;v2.2.2.0;BinaryFocalCrossentropy;0.6;1.0;0.068013772368431;0.944432020187378;0.9628508687019348;0.961904764175415;0.9861384630203248;0.0676380395889282;0.9517031908035278;0.9709781408309937;0.9555712342262268;0.9876333475112916
77;v2.2.2.0;BinaryFocalCrossentropy;0.6;1.0;0.0665352344512939;0.9469451308250428;0.9647290110588074;0.9634164571762084;0.9867255687713624;0.0673813894391059;0.9477367997169496;0.9684361815452576;0.9520451426506042;0.9879136085510254
